Date,Instantaneous_SSE,Instantaneous_Penalized_k5,Instantaneous_Convergence,Best_tau_max,Best_p,Best_Kernel_SSE,Best_Kernel_Penalized_k6,n_independent,Best_Kernel_Convergence,Best_Kernel_Penalized_k7,Preferred_Model_k7,Penalized_Difference
2012-01-14,0.005590939561034576,4.374757090011405e-6,0,24,0.999,0.00559134902276645,4.3819349708201015e-6,1288,0,4.388813989612598e-6,Instantaneous,1.4056899601192681e-8
2012-01-15,0.003960465195440296,3.0989555519877117e-6,0,6,0.05949501288935254,0.0027276201068187765,2.1376333125539e-6,1288,0,2.1409890948342046e-6,Kernel,-9.57966457153507e-7
2012-01-16,0.006325239681229176,4.949326824122986e-6,0,3,0.999,0.006325133087546971,4.957000852309538e-6,1288,0,4.964782643286476e-6,Instantaneous,1.54558191634901e-8
