"Pair","Param1","Param2","Param1Value","Param2Value","SSE","Log10SSE"
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.035,0.038000617108967,-1.42020935062417
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.04,0.0606524745759943,-1.21715147554307
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.045,0.0877948832178964,-1.05653079451516
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.05,0.118996170732504,-0.924467013872184
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.055,0.15403161290082,-0.812390136959578
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.06,0.192818043570863,-0.714852328023446
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.065,0.235364522999055,-0.628258998701108
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.07,0.281734902595952,-0.550159347313601
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.075,0.33201953019754,-0.478836369285255
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.08,0.386314149320654,-0.41305938489337
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.01,0.0471251373659203,-1.32674737085142
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.015,0.0184357565148731,-1.73433903633323
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.02,0.00547512015767596,-2.26160634530191
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.025,0.00406704317223477,-2.39072121747399
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.03,0.0114139105562922,-1.94256553506908
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.035,0.0256186267351537,-1.59144415395626
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.04,0.0454027099298404,-1.34291822484218
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.045,0.0699253904017833,-1.15536510023185
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.05,0.0986594542696942,-1.0058612911475
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.055,0.131301693001719,-0.881729674089011
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.06,0.167706107815047,-0.775451120208063
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.065,0.207833091232735,-0.682285302805734
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.07,0.251710439398605,-0.599098772218063
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.075,0.29940347864307,-0.523743158078761
"gamma_max_vs_delta_max","gamma_max","delta_max",0.157142857142857,0.08,0.350992403874943,-0.45470228236863
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.01,0.0608025182920014,-1.21607843293662
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.015,0.0257498866786601,-1.58922467788263
"gamma_max_vs_delta_max","gamma_max","delta_max",0.171428571428571,0.02,0.0074458294269377,-2.12808691705507
